"RECLTD" Might-Give-A-LE-Signal LTP=127.9  RSI=59.09090909090917  SUPERTEND=125.94028969250296 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:45:12.084090
"AUROPHARMA" LX LTP=906.1  RSI=61.376075058639586  SUPERTEND=903.6653333333334 down MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:45:15.584830
"RECLTD" Waiting-for-LE LTP=128.05  RSI=59.776536312849274  SUPERTEND=125.94028969250296 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:45:24.954903
"AUROPHARMA" Might-Give-A-LE-Signal LTP=902.35  RSI=58.03571428571431  SUPERTEND=896.8852869410588 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:50:37.084047
"AUROPHARMA" Waiting-for-LE LTP=903.4  RSI=58.95691609977323  SUPERTEND=896.8852869410588 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:50:42.769386
"AUROPHARMA" LE LTP=901.55  RSI=57.35294117647056  SUPERTEND=896.8852869410588 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:53:00.281153
"AUROPHARMA" buy already LTP=901.95  RSI=57.69230769230774  SUPERTEND=896.8852869410588 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 13:53:17.026123
"DRREDDY" Might-Give-A-LE-Signal LTP=4945.2  RSI=58.53048983672103  SUPERTEND=4897.593993704567 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:12:02.712187
"DRREDDY" Waiting-for-LE LTP=4948.85  RSI=59.028806584362144  SUPERTEND=4897.593993704567 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:12:14.946188
"DRREDDY" Might-Give-A-LE-Signal LTP=4934.0  RSI=57.375364056878524  SUPERTEND=4905.386574449304 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:17:02.060785
"DRREDDY" Waiting-for-LE LTP=4934.9  RSI=57.552844131293966  SUPERTEND=4905.386574449304 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:17:17.764219
"DRREDDY" Might-Give-A-LE-Signal LTP=4943.9  RSI=58.95181741335582  SUPERTEND=4902.228472624254 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:25:39.614478
"DRREDDY" Waiting-for-LE LTP=4944.0  RSI=58.965692073685986  SUPERTEND=4902.228472624254 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:25:59.906695
"ONGC" In-LE-For-A-While LTP=89.65  RSI=55.78947368421056  SUPERTEND=88.41761949058984 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:30:18.135292
"ONGC" In-LE-For-A-While LTP=89.7  RSI=56.02094240837698  SUPERTEND=88.59411789101587 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:41:06.782875
"BANKBARODA" Might-Give-A-LE-Signal LTP=59.25  RSI=55.62499999999999  SUPERTEND=57.63708689760831 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:43:14.271696
"BANKBARODA" Waiting-for-LE LTP=59.25  RSI=55.62499999999999  SUPERTEND=57.63708689760831 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:43:19.983499
"TATASTEEL" Might-Give-A-LE-Signal LTP=625.9  RSI=55.54272517321011  SUPERTEND=619.5535667465624 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:43:44.757867
"TATASTEEL" Waiting-for-LE LTP=626.0  RSI=55.645161290322555  SUPERTEND=619.5535667465624 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:43:57.765142
"BANKBARODA" Might-Give-A-LE-Signal LTP=59.05  RSI=55.345911949685494  SUPERTEND=58.24613290636649 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:49:02.353281
"BANKBARODA" Waiting-for-LE LTP=59.05  RSI=55.345911949685494  SUPERTEND=58.24613290636649 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:49:08.151542
"IOC" In-LE-For-A-While LTP=90.3  RSI=55.33980582524269  SUPERTEND=89.64884948173732 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:49:14.110092
"BANKBARODA" LE LTP=59.15  RSI=56.05095541401271  SUPERTEND=58.24613290636649 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:52:03.935377
"BANKBARODA" buy already LTP=59.2  RSI=56.41025641025641  SUPERTEND=58.24613290636649 up MACD= Cross-Over above line TIMESTAMP=2020-12-04 14:52:10.844566
"DIVISLAB" In-LE-For-A-While LTP=3720.0  RSI=59.94854202401373  SUPERTEND=3694.3711079610976 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 11:42:48.820984
"IDEA" In-SE-For-A-While LTP=9.65  RSI=42.857142857142826  SUPERTEND=9.796457147967182 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 11:42:52.696526
"IDEA" In-SE-For-A-While LTP=9.65  RSI=40.000000000000036  SUPERTEND=9.793961885060934 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 11:48:02.007986
"IDEA" In-SE-For-A-While LTP=9.65  RSI=40.000000000000036  SUPERTEND=9.793961885060934 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 11:58:14.690070
"IDEA" In-SE-For-A-While LTP=9.6  RSI=39.999999999999964  SUPERTEND=9.767606484273593 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 12:02:05.811071
"BANKBARODA" Might-Give-A-LE-Signal LTP=60.3  RSI=66.41791044776117  SUPERTEND=58.9560925079545 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:14:11.742222
"NIFTI BANK" In-LE-For-A-While LTP=30207.15  RSI=63.79530553742237  SUPERTEND=29940.821250503548 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:14:12.962927
"IDEA" In-SE-For-A-While LTP=9.65  RSI=42.10526315789473  SUPERTEND=9.797252341640602 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 12:14:14.816122
"BANKBARODA" LE LTP=60.25  RSI=66.16541353383458  SUPERTEND=58.9560925079545 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:14:21.818357
"BANKBARODA" buy already LTP=60.3  RSI=66.41791044776117  SUPERTEND=58.9560925079545 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:14:23.157893
"RBLBANK" Might-Give-A-LE-Signal LTP=237.5  RSI=55.84415584415586  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:30:23.699300
"RBLBANK" LE-failed LTP=236.9  RSI=54.748603351955325  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:30:44.434146
"RBLBANK" Might-Give-A-LE-Signal LTP=237.1  RSI=55.1594746716698  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:31:14.459202
"RBLBANK" LE LTP=237.1  RSI=55.1594746716698  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:31:26.237749
"RBLBANK" buy already LTP=236.75  RSI=54.44444444444446  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:31:44.451447
"RBLBANK" Might-Give-A-LE-Signal LTP=237.6  RSI=56.007393715341976  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:40:26.031584
"RBLBANK" LE LTP=237.6  RSI=56.007393715341976  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:41:31.583521
"RBLBANK" buy already LTP=237.65  RSI=56.088560885608885  SUPERTEND=234.50945333935974 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 12:41:49.212593
"SHREECEM" In-SE-For-A-While LTP=24900.0  RSI=44.780314328323996  SUPERTEND=25013.74824237037 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 12:56:16.482349
"SHREECEM" In-SE-For-A-While LTP=24854.4  RSI=43.14597654670451  SUPERTEND=24998.234573647194 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 13:31:56.191809
