Date,open,high,low,close
1/2/2020 9:15,1442,1454,1442,1452.15
1/2/2020 9:30,1452.15,1469,1452.1,1468.95
1/2/2020 9:45,1468.8,1473,1464,1471.5
1/2/2020 10:00,1471.5,1477.85,1471.1,1476
1/2/2020 10:15,1476,1483.5,1475.4,1482.6
1/2/2020 10:30,1483.1,1489.6,1482.3,1488
1/2/2020 10:45,1488,1493,1487,1492.8
1/2/2020 11:00,1492.8,1493,1483.55,1483.55
1/2/2020 11:15,1483.55,1485,1482,1484.95
1/2/2020 11:30,1484.95,1489.75,1484,1488.3
1/2/2020 11:45,1488.3,1489,1486.05,1488
1/2/2020 12:00,1488,1489,1486.1,1487.55
1/2/2020 12:15,1488,1489,1485.5,1487.8
1/2/2020 12:30,1487.8,1498,1487,1495
1/2/2020 12:45,1495,1496.9,1493.65,1494.9
1/2/2020 13:00,1494.9,1496.9,1493.65,1494.85
1/2/2020 13:15,1494.85,1501.7,1494.05,1500.1
1/2/2020 13:30,1500.1,1501.5,1496.5,1497.4
1/2/2020 13:45,1497.4,1497.5,1491.15,1494.7
1/2/2020 14:00,1494.7,1496.9,1492.6,1493
1/2/2020 14:15,1493,1495.1,1492,1493.95
1/2/2020 14:30,1493.95,1494.7,1492.15,1493.15
1/2/2020 14:45,1493.15,1494,1492.5,1493
1/2/2020 15:00,1493,1494,1491,1492.8
1/2/2020 15:15,1492.6,1495.95,1492,1494.8
1/3/2020 9:15,1493,1494,1482.75,1489.6
1/3/2020 9:30,1489.6,1490,1479.6,1481.4
1/3/2020 9:45,1482.3,1485.75,1480.2,1484
1/3/2020 10:00,1484,1488.65,1482.6,1484.65
1/3/2020 10:15,1484.65,1493.1,1483.5,1490.4
1/3/2020 10:30,1490.4,1490.95,1485.1,1486.75
1/3/2020 10:45,1486.3,1487.95,1484.6,1484.9
1/3/2020 11:00,1484.9,1485.55,1482.5,1483.75
1/3/2020 11:15,1483.75,1483.75,1482.1,1482.5
1/3/2020 11:30,1482.5,1483,1477.75,1478.75
1/3/2020 11:45,1478.75,1480.65,1476,1478.2
1/3/2020 12:00,1478.2,1478.2,1472,1473.5
1/3/2020 12:15,1473.5,1474.1,1471.85,1472.6
1/3/2020 12:30,1472.5,1472.9,1471.6,1472.5
1/3/2020 12:45,1472.5,1475,1472.5,1474.65
1/3/2020 13:00,1474.65,1477.4,1474.05,1475.4
1/3/2020 13:15,1475.4,1475.45,1471.7,1473.6
1/3/2020 13:30,1473.6,1475.2,1473.55,1473.9
1/3/2020 13:45,1473.9,1475,1472.45,1474.05
1/3/2020 14:00,1474.05,1474.2,1470,1470.75
1/3/2020 14:15,1470.75,1472,1469.3,1471.95
1/3/2020 14:30,1472,1472.45,1470.3,1471.6
1/3/2020 14:45,1471.6,1471.95,1467.1,1468.4
1/3/2020 15:00,1468.5,1479.55,1468.25,1478.15
1/3/2020 15:15,1478.15,1480,1475.8,1476.8
1/6/2020 9:15,1462.1,1469.85,1453.5,1454.4
1/6/2020 9:30,1454.05,1454.05,1446.25,1448.1
1/6/2020 9:45,1448,1453.4,1448,1452.75
1/6/2020 10:00,1452.75,1456.85,1452.35,1453.55
1/6/2020 10:15,1453.55,1454.7,1450,1453.1
1/6/2020 10:30,1453.1,1453.1,1449,1450.1
1/6/2020 10:45,1450.1,1450.3,1447.25,1449.3
1/6/2020 11:00,1449.3,1449.3,1443.5,1446.2
1/6/2020 11:15,1446.2,1447,1443.5,1446.45
1/6/2020 11:30,1446.45,1446.95,1444.05,1445.5
1/6/2020 11:45,1445.5,1450.45,1445.25,1448.3
1/6/2020 12:00,1448.3,1449.85,1445.05,1445.5
1/6/2020 12:15,1445.5,1450,1445.5,1448.35
1/6/2020 12:30,1448.35,1449,1445.4,1445.7
1/6/2020 12:45,1445.7,1446,1440.1,1440.15
1/6/2020 13:00,1440.75,1443.9,1440.15,1443.65
1/6/2020 13:15,1443.65,1444.9,1441.15,1444.5
1/6/2020 13:30,1444.5,1448,1444.1,1447.25
1/6/2020 13:45,1447.25,1448,1444,1444.3
1/6/2020 14:00,1444,1445,1440.1,1440.1
1/6/2020 14:15,1440.1,1441,1437.35,1439.5
1/6/2020 14:30,1439.5,1439.5,1433.25,1436.4
1/6/2020 14:45,1436.4,1442.75,1433.95,1441.2
1/6/2020 15:00,1441.2,1441.95,1430.55,1433.55
1/6/2020 15:15,1433.55,1438,1432.5,1432.5
1/7/2020 9:15,1450,1459.2,1450,1454.65
1/7/2020 9:30,1455.45,1465.05,1454.65,1461
1/7/2020 9:45,1461,1464.9,1452.15,1455
1/7/2020 10:00,1455,1455.3,1447.8,1453
1/7/2020 10:15,1453,1456,1453,1453.5
1/7/2020 10:30,1453.5,1453.8,1450.3,1450.3
1/7/2020 10:45,1450.3,1451.9,1449,1449.5
1/7/2020 11:00,1449.5,1449.5,1442,1445.3
1/7/2020 11:15,1445.3,1447,1442,1445.4
1/7/2020 11:30,1445.4,1451.15,1444.9,1446.2
1/7/2020 11:45,1446.15,1446.15,1438.1,1441
1/7/2020 12:00,1441,1444,1439.4,1443
1/7/2020 12:15,1443,1447.45,1442.7,1443
1/7/2020 12:30,1443,1445.2,1442.7,1444.4
1/7/2020 12:45,1444,1447.35,1443.2,1443.55
1/7/2020 13:00,1444.25,1444.25,1438.7,1441.35
